phase_1_address,score,e911_address
1047 barnum hill rd,1.0,1047 BARNUM HILL RD
2274 smith st,1.0,2274 SMITH ST
292 quiet valley rd,1.0,292 QUIET VALLEY RD
360 quiet valley rd,1.0,360 QUIET VALLEY RD
36 s bingham st,1.0,36 S BINGHAM ST
440 delong ln,1.0,440 DELONG LN
523 middle rd,1.0,523 MIDDLE RD
602 main st,1.0,602 MAIN ST
519 robbins rd,1.0,519 ROBBINS RD
658 harrington hill rd,1.0,658 HARRINGTON HILL RD
145 lake st,1.0,145 LAKE ST
1519 delong rd,1.0,1519 DELONG RD
185 holmes ln,1.0,185 HOLMES LN
872 parkhill rd,1.0,872 PARKHILL RD
260 shacksboro rd,1.0,260 SHACKSBORO RD
51 mount independence rd,1.0,51 MOUNT INDEPENDENCE RD
172 beaver brook rd,1.0,172 BEAVER BROOK RD
1696 leland rd,1.0,1696 LELAND RD
208 murray rd,1.0,208 MURRAY RD
2137 n bingham st,1.0,2137 N BINGHAM ST
943 shard villa rd,1.0,943 SHARD VILLA RD
364 delong ln,1.0,364 DELONG LN
65 church st,1.0,65 CHURCH ST
28 n orwell rd,1.0,28 N ORWELL RD
7 n orwell rd,1.0,7 N ORWELL RD
7 n orwell rd,1.0,7 N ORWELL RD
1691 n bingham st,1.0,1691 N BINGHAM ST
215 school st,1.0,215 SCHOOL ST
764 richville rd,1.0,764 RICHVILLE RD
653 wooster rd,1.0,653 WOOSTER RD
69 sperry rd,1.0,69 SPERRY RD
600 main st,1.0,600 MAIN ST
224 douglas rd,1.0,224 DOUGLAS RD
854 basin harbor rd,1.0,854 BASIN HARBOR RD
37 shacksboro rd,1.0,37 SHACKSBORO RD
159 cemetery hill rd,1.0,159 CEMETERY HILL RD
170 needham hill rd,1.0,170 NEEDHAM HILL RD
179 bourdeau rd,1.0,179 BOURDEAU RD
1870 shacksboro rd,1.0,1870 SHACKSBORO RD
15 sampson rd,1.0,15 SAMPSON RD
216 james rd,1.0,216 JAMES RD
2219 w salisbury rd,1.0,2219 W SALISBURY RD
278 n orwell rd,1.0,278 N ORWELL RD
275 n orwell rd,1.0,275 N ORWELL RD
1576 morgan rd,1.0,1576 MORGAN RD
833 n bingham st,1.0,833 N BINGHAM ST
84 galvin rd,1.0,84 GALVIN RD
1342 smith st,1.0,1342 SMITH ST
73 church st,1.0,73 CHURCH ST
827 halladay rd,1.0,827 HALLADAY RD
265 douglas rd,1.0,265 DOUGLAS RD
1921 n bingham st,1.0,1921 N BINGHAM ST
2446 dewey rd,1.0,2446 DEWEY RD
9 desrocher ln,1.0,9 DESROCHER Ln
131 church st,1.0,131 CHURCH ST
140 old foundry rd,1.0,140 OLD FOUNDRY RD
212 philion rd,1.0,212 PHILION RD
462 shoreham depot rd,1.0,462 SHOREHAM DEPOT RD
812 wooster rd,1.0,812 WOOSTER RD
628 delong ln,1.0,628 DELONG LN
940 jenison rd,1.0,940 JENISON RD
86 church st,1.0,86 CHURCH ST
505 main st,1.0,505 MAIN ST
85 church st,1.0,85 CHURCH ST
142 philion rd,1.0,142 PHILION RD
123 delong rd,1.0,123 DELONG RD
1049 n cream hill rd,1.0,1049 N CREAM HILL RD
851 clark rd,1.0,851 CLARK RD
28 clark rd,1.0,28 CLARK RD
704 morgan rd,1.0,704 MORGAN RD
428 doolittle rd,1.0,428 DOOLITTLE RD
532 doolittle rd,1.0,532 DOOLITTLE RD
31 clark rd,1.0,31 CLARK RD
489 richville rd,1.0,489 RICHVILLE RD
332 main st,1.0,332 MAIN ST
