phase_1_address,score,e911_address
472 webster rd,1.0,472 WEBSTER RD
510 w salisbury rd,1.0,510 W SALISBURY RD
1629 s bingham st,1.0,1629 S BINGHAM ST
574 shard villa rd,1.0,574 SHARD VILLA RD
1089 halladay rd,1.0,1089 HALLADAY RD
85 cider mill rd,1.0,85 CIDER MILL RD
1227 lapham bay rd,1.0,1227 LAPHAM BAY RD
21 mutton square rd,1.0,21 MUTTON SQUARE RD
681 cutting hill rd,1.0,681 CUTTING HILL RD
894 morgan rd,1.0,894 MORGAN RD
28 hemenway hill rd,1.0,28 HEMENWAY HILL RD
2575 s bingham st,1.0,2575 S BINGHAM ST
125 stickney rd,1.0,125 STICKNEY RD
421 n bingham st,1.0,421 N BINGHAM ST
625 school st,1.0,625 SCHOOL ST
985 n bingham st,1.0,985 N BINGHAM ST
138 angel rd,1.0,138 ANGEL RD
1944 sperry rd,1.0,1944 SPERRY RD
141 brown rd,1.0,141 BROWN RD
825 cider mill rd,1.0,825 CIDER MILL RD
96 doolittle rd,1.0,96 DOOLITTLE RD
1093 leland rd,1.0,1093 LELAND RD
262 n orwell rd,1.0,262 N ORWELL RD
2156 w salisbury rd,1.0,2156 W SALISBURY RD
2284 leland rd,1.0,2284 LELAND RD
186 buttolph rd,1.0,186 BUTTOLPH RD
1107 leland rd,1.0,1107 LELAND RD
1447 smith st,1.0,1447 SMITH ST
1844 halladay rd,1.0,1844 HALLADAY RD
199 morgan rd,1.0,199 MORGAN RD
117 brown ln,1.0,117 BROWN Ln
1299 s bingham st,1.0,1299 S BINGHAM ST
1409 lapham bay rd,1.0,1409 LAPHAM BAY RD
1467 quiet valley rd,1.0,1467 QUIET VALLEY RD
2505 dewey rd,1.0,2505 DEWEY RD
1594 n orwell rd,1.0,1594 N ORWELL RD
1363 s bingham st,1.0,1363 S BINGHAM ST
2350 w salisbury rd,1.0,2350 W SALISBURY RD
8 n orwell rd,1.0,8 N ORWELL RD
440 three mile bridge rd,1.0,440 THREE MILE BRIDGE RD
2 sampson rd,1.0,2 SAMPSON RD
2806 smith st,1.0,2806 SMITH ST
3332 basin harbor rd,1.0,3332 BASIN HARBOR RD
286 hands cove rd,1.0,286 HANDS COVE RD
72 creek rd,1.0,72 CREEK RD
153 main st,1.0,153 MAIN ST
143 stickney rd,1.0,143 STICKNEY RD
221 barnes rd,1.0,221 BARNES RD
36 barnes rd,1.0,36 BARNES RD
1118 morgan rd,1.0,1118 MORGAN RD
144 ledge ln,1.0,144 LEDGE Ln
297 s bingham st,1.0,297 S BINGHAM ST
639 sperry rd,1.0,639 SPERRY RD
462 s bingham st,1.0,462 S BINGHAM ST
517 snake mountain rd,1.0,517 SNAKE MOUNTAIN RD
187 needham hill rd,1.0,187 NEEDHAM HILL RD
980 wooster rd,1.0,980 WOOSTER RD
7 church st,1.0,7 CHURCH St
1595 delong rd,1.0,1595 DELONG RD
450 cutting hill rd,1.0,450 CUTTING HILL RD
550 cutting hill rd,1.0,550 CUTTING HILL RD
3113 richville rd,1.0,3113 RICHVILLE RD
322 stickney rd,1.0,322 STICKNEY RD
7 old foundry rd,1.0,7 OLD FOUNDRY RD
631 n cream hill rd,1.0,631 N CREAM HILL RD
426 cutting hill rd,1.0,426 CUTTING HILL RD
1029 richville rd,1.0,1029 RICHVILLE RD
1120 w salisbury rd,1.0,1120 W SALISBURY RD
116 carothers ln,1.0,116 CAROTHERS Ln
380 foote farm rd,1.0,380 FOOTE FARM RD
1211 smith st,1.0,1211 SMITH ST
674 middle rd,1.0,674 MIDDLE RD
2461 n bingham st,1.0,2461 N BINGHAM ST
234 school st,1.0,234 SCHOOL ST
362 main st,1.0,362 MAIN ST
121 pidgeon rd w,1.0,121 PIDGEON RD W
160 hanson rd,1.0,160 HANSON RD
379 n orwell rd,1.0,379 N ORWELL RD
1646 halladay rd,1.0,1646 HALLADAY RD
647 andrus pitch,1.0,647 ANDRUS PITCH
360 cutting hill rd,1.0,360 CUTTING HILL RD
64 shard villa rd,1.0,64 SHARD VILLA RD
2150 w salisbury rd,1.0,2150 W SALISBURY RD
490 shard villa rd,1.0,490 SHARD VILLA RD
1683 sperry rd,1.0,1683 SPERRY RD
171 meadow ln,1.0,171 MEADOW Ln
15 old foundry rd,1.0,15 OLD FOUNDRY RD
210 cider mill rd,1.0,210 CIDER MILL RD
517 basin harbor rd,1.0,517 BASIN HARBOR RD
553 witherell rd,1.0,553 WITHERELL RD
719 parkhill rd,1.0,719 PARKHILL RD
942 cider mill rd,1.0,942 CIDER MILL RD
1623 buttolph rd,1.0,1623 BUTTOLPH RD
71 clark rd,1.0,71 CLARK RD
1186 halladay rd,1.0,1186 HALLADAY RD
8 douglas rd,1.0,8 DOUGLAS RD
130 ti view ln,1.0,130 TI VIEW LN
527 main st,1.0,527 MAIN ST
695 palmer rd,1.0,695 PALMER RD
1127 n bingham st,1.0,1127 N BINGHAM ST
27 sampson rd,1.0,27 SAMPSON RD
283 littlefield ln,1.0,283 LITTLEFIELD LN
303 littlefield ln,1.0,303 LITTLEFIELD LN
168 n orwell rd,1.0,168 N ORWELL RD
2630 old jerusalem rd,1.0,2630 OLD JERUSALEM RD
25 sampson rd,1.0,25 SAMPSON RD
896 morgan rd,1.0,896 MORGAN RD
194 s bingham st,1.0,194 S BINGHAM ST
905 w salisbury rd,1.0,905 W SALISBURY RD
1131 s bingham st,1.0,1131 S BINGHAM ST
12 james rd,1.0,12 JAMES RD
2317 morse rd,1.0,2317 MORSE RD
314 douglas rd,1.0,314 DOUGLAS RD
338 delong rd,1.0,338 DELONG RD
433 sperry rd,1.0,433 SPERRY RD
107 firehouse rd,1.0,107 FIREHOUSE RD
1190 halladay rd,1.0,1190 HALLADAY RD
734 witherell rd,1.0,734 WITHERELL RD
131 main st,1.0,131 MAIN ST
132 brown rd,1.0,132 BROWN RD
1359 richville rd,1.0,1359 RICHVILLE RD
52 n orwell rd,1.0,52 N ORWELL RD
97 littlefield ln,1.0,97 LITTLEFIELD LN
777 dewey rd,1.0,777 DEWEY RD
1563 w salisbury rd,1.0,1563 W SALISBURY RD
642 webster rd,1.0,642 WEBSTER RD
97 shoreham depot rd,1.0,97 SHOREHAM DEPOT RD
427 wooster rd,1.0,427 WOOSTER RD
548 delong ln,1.0,548 DELONG LN
525 n bingham st,1.0,525 N BINGHAM ST
1515 cider mill rd,1.0,1515 CIDER MILL RD
746 n bingham st,1.0,746 N BINGHAM ST
2034 morse rd,1.0,2034 MORSE RD
2663 watch point rd,1.0,2663 WATCH POINT RD
577 dewey rd,1.0,577 DEWEY RD
2017 middle rd,1.0,2017 MIDDLE RD
496 dewey rd,1.0,496 DEWEY RD
259 n orwell rd,1.0,259 N ORWELL RD
2570 s bingham st,1.0,2570 S BINGHAM ST
50 hibbard hill rd,1.0,50 HIBBARD HILL RD
941 richville rd,1.0,941 RICHVILLE RD
525 palmer rd,1.0,525 PALMER RD
188 delong ln,1.0,188 DELONG LN
153 wildflower ln,1.0,153 WILDFLOWER Ln
435 main st,1.0,435 MAIN ST
191 n orwell rd,1.0,191 N ORWELL RD
1087 witherell rd,1.0,1087 WITHERELL RD
191 main st,1.0,191 MAIN ST
66 daigneault hill rd,1.0,66 DAIGNEAULT HILL RD
82 ti view ln,1.0,82 TI VIEW LN
2582 old jerusalem rd,1.0,2582 OLD JERUSALEM RD
2530 old jerusalem rd,1.0,2530 OLD JERUSALEM RD
647 w salisbury rd,1.0,647 W SALISBURY RD
148 carothers ln,1.0,148 CAROTHERS Ln
1413 brown rd,1.0,1413 BROWN RD
237 royce hill rd,1.0,237 ROYCE HILL RD
7 sampson rd,1.0,7 SAMPSON RD
17 shoreham depot rd,1.0,17 SHOREHAM DEPOT RD
1266 brown rd,1.0,1266 BROWN RD
362 doolittle rd,1.0,362 DOOLITTLE RD
71 inn rd,1.0,71 INN RD
2744 watch point rd,1.0,2744 WATCH POINT RD
436 main st,1.0,436 MAIN ST
494 main st,1.0,494 MAIN ST
961 shoreham depot rd,1.0,961 SHOREHAM DEPOT RD
297 main st,1.0,297 MAIN St
23 inn rd,1.0,23 INN RD
445 swamp rd,1.0,445 SWAMP RD
29 daigneault hill rd,1.0,29 DAIGNEAULT HILL RD
60 stickney rd,1.0,60 STICKNEY RD
179 cider mill rd,1.0,179 CIDER MILL RD
289 barnum hill rd,1.0,289 BARNUM HILL RD
70 glen view dr,1.0,70 GLEN VIEW Dr
2538 s bingham st,1.0,2538 S BINGHAM ST
1575 n orwell rd,1.0,1575 N ORWELL RD
400 school st,1.0,400 SCHOOL ST
231 royce hill rd,1.0,231 ROYCE HILL RD
421 s bingham st,1.0,421 S BINGHAM ST
2413 shacksboro rd,1.0,2413 SHACKSBORO RD
25 shoreham depot rd,1.0,25 SHOREHAM DEPOT RD
227 main st,1.0,227 MAIN ST
248 old foundry rd,1.0,248 OLD FOUNDRY RD
1874 morgan rd,1.0,1874 MORGAN RD
740 shacksboro rd,1.0,740 SHACKSBORO RD
142 bilodeau rd,1.0,142 BILODEAU RD
97 brown rd,1.0,97 BROWN RD
241 school st,1.0,241 SCHOOL ST
410 delong ln,1.0,410 DELONG LN
685 lapham bay rd,1.0,685 LAPHAM BAY RD
732 n cream hill rd,1.0,732 N CREAM HILL RD
1027 halladay rd,1.0,1027 HALLADAY RD
1402 sperry rd,1.0,1402 SPERRY RD
125 morse rd,1.0,125 MORSE RD
19 n bingham st,1.0,19 N BINGHAM ST
3122 lapham bay rd,1.0,3122 LAPHAM BAY RD
620 n cream hill rd,1.0,620 N CREAM HILL RD
50 edgewood ln,1.0,50 EDGEWOOD Ln
214 ledge ln,1.0,214 LEDGE Ln
775 basin harbor rd,1.0,775 BASIN HARBOR RD
299 ridge rd,1.0,299 RIDGE RD
536 w salisbury rd,1.0,536 W SALISBURY RD
54 murray rd,1.0,54 MURRAY RD
448 school st,1.0,448 SCHOOL ST
87 oliver howe ct,1.0,87 OLIVER HOWE CT
145 needham hill rd,1.0,145 NEEDHAM HILL RD
2615 old jerusalem rd,1.0,2615 OLD JERUSALEM RD
368 school st,1.0,368 SCHOOL ST
109 church st,1.0,109 CHURCH ST
11 sampson rd,1.0,11 SAMPSON RD
68 shacksboro rd,1.0,68 SHACKSBORO RD
2513 w salisbury rd,1.0,2513 W SALISBURY RD
2182 morse rd,1.0,2182 MORSE RD
135 royce hill rd,1.0,135 ROYCE HILL RD
247 cemetery hill rd,1.0,247 CEMETERY HILL RD
42 duffany rd,1.0,42 DUFFANY RD
604 quiet valley rd,1.0,604 QUIET VALLEY RD
1863 buttolph rd,1.0,1863 BUTTOLPH RD
187 parkhill rd,1.0,187 PARKHILL RD
1340 s bingham st,1.0,1340 S BINGHAM ST
242 s bingham st,1.0,242 S BINGHAM ST
143 s bingham st,1.0,143 S BINGHAM ST
56 apple tree ln,1.0,56 APPLE TREE Ln
1205 three mile bridge rd,1.0,1205 THREE MILE BRIDGE RD
119 royce hill rd,1.0,119 ROYCE HILL RD
1565 s bingham st,1.0,1565 S BINGHAM ST
1033 s bingham st,1.0,1033 S BINGHAM ST
297 lake st,1.0,297 LAKE ST
490 parkhill rd,1.0,490 PARKHILL RD
145 royce hill rd,1.0,145 ROYCE HILL RD
783 richville rd,1.0,783 RICHVILLE RD
2207 n bingham st,1.0,2207 N BINGHAM ST
302 old sawmill rd,1.0,302 OLD SAWMILL RD
298 old sawmill rd,1.0,298 OLD SAWMILL RD
223 n main st,1.0,223 N MAIN St
115 main st,1.0,115 MAIN St
150 glen view dr,1.0,150 GLEN VIEW Dr
123 cutting hill rd,1.0,123 CUTTING HILL RD
681 s bingham st,1.0,681 S BINGHAM ST
467 shard villa rd,1.0,467 SHARD VILLA RD
378 n main st,1.0,378 N MAIN St
24 gibeault rd,1.0,24 GIBEAULT RD
1447 halladay rd,1.0,1447 HALLADAY RD
3557 w salisbury rd,1.0,3557 W SALISBURY RD
277 n main st,1.0,277 N MAIN St
92 columbus smith rd,1.0,92 COLUMBUS SMITH RD
109 dewey rd,1.0,109 DEWEY RD
213 dewey rd,1.0,213 DEWEY RD
274 n orwell rd,1.0,274 N ORWELL RD
96 ti view ln,1.0,96 TI VIEW LN
692 delong ln,1.0,692 DELONG LN
807 smith st,1.0,807 SMITH ST
2665 old jerusalem rd,1.0,2665 OLD JERUSALEM RD
1756 sperry rd,1.0,1756 SPERRY RD
415 buttolph rd,1.0,415 BUTTOLPH RD
1031 lapham bay rd,1.0,1031 LAPHAM BAY RD
891 lapham bay rd,1.0,891 LAPHAM BAY RD
790 ridge rd,1.0,790 RIDGE RD
29 old foundry rd,1.0,29 OLD FOUNDRY RD
738 jenison rd,1.0,738 JENISON RD
179 morgan rd,1.0,179 MORGAN RD
50 daigneault hill rd,1.0,50 DAIGNEAULT HILL RD
338 shard villa rd,1.0,338 SHARD VILLA RD
215 sunset orchard rd,1.0,215 SUNSET ORCHARD RD
114 cross rd,1.0,114 CROSS RD
178 cross rd,1.0,178 CROSS RD
2051 w salisbury rd,1.0,2051 W SALISBURY RD
2153 w salisbury rd,1.0,2153 W SALISBURY RD
393 blake roy rd,1.0,393 BLAKE ROY RD
1971 w salisbury rd,1.0,1971 W SALISBURY RD
274 lewis rd,1.0,274 LEWIS RD
384 n bingham st,1.0,384 N BINGHAM ST
628 n bingham st,1.0,628 N BINGHAM ST
769 n bingham st,1.0,769 N BINGHAM ST
227 riggs rd,1.0,227 RIGGS RD
189 riggs rd,1.0,189 RIGGS RD
871 parkhill rd,1.0,871 PARKHILL RD
261 hamblin rd,1.0,261 HAMBLIN RD
1672 sperry rd,1.0,1672 SPERRY RD
1265 s bingham st,1.0,1265 S BINGHAM ST
339 parkhill rd,1.0,339 PARKHILL RD
11 hamblin rd,1.0,11 HAMBLIN RD
2112 s bingham st,1.0,2112 S BINGHAM ST
27 shoreham depot rd,1.0,27 SHOREHAM DEPOT RD
776 ridge rd,1.0,776 RIDGE RD
24 beauvais rd,1.0,24 BEAUVAIS RD
177 needham hill rd,1.0,177 NEEDHAM HILL RD
57 lapham bay rd,1.0,57 LAPHAM BAY RD
270 barnes rd,1.0,270 BARNES RD
34 foote farm rd,1.0,34 FOOTE FARM RD
500 ridge rd,1.0,500 RIDGE RD
118 carothers ln,1.0,118 CAROTHERS LN
1153 cider mill rd,1.0,1153 CIDER MILL RD
1573 shacksboro rd,1.0,1573 SHACKSBORO RD
123 philion rd,1.0,123 PHILION RD
83 philion rd,1.0,83 PHILION RD
651 blake roy rd,1.0,651 BLAKE ROY RD
35 mount independence rd,1.0,35 MOUNT INDEPENDENCE RD
200 fisher rd,1.0,200 FISHER RD
133 stickney rd,1.0,133 STICKNEY RD
3225 richville rd,1.0,3225 RICHVILLE RD
3394 richville rd,1.0,3394 RICHVILLE RD
3 hemenway hill rd,1.0,3 HEMENWAY HILL RD
997 shoreham depot rd,1.0,997 SHOREHAM DEPOT RD
2898 basin harbor rd,1.0,2898 BASIN HARBOR RD
747 watch point rd,1.0,747 WATCH POINT RD
59 church st,1.0,59 CHURCH ST
89 ridge rd,1.0,89 RIDGE RD
347 lake st,1.0,347 LAKE ST
458 n orwell rd,1.0,458 N ORWELL RD
147 cross rd,1.0,147 CROSS RD
241 pidgeon rd e,1.0,241 PIDGEON RD E
463 delong rd,1.0,463 DELONG RD
907 leland rd,1.0,907 LELAND RD
1456 halladay rd,1.0,1456 HALLADAY RD
258 n main st,1.0,258 N MAIN St
520 tottingham rd,1.0,520 TOTTINGHAM RD
56 mount independence rd,1.0,56 MOUNT INDEPENDENCE RD
188 audet rd,1.0,188 AUDET RD
287 shard villa rd,1.0,287 SHARD VILLA RD
438 wooster rd,1.0,438 WOOSTER RD
925 halladay rd,1.0,925 HALLADAY RD
380 n bingham st,1.0,380 N BINGHAM ST
832 witherell rd,1.0,832 WITHERELL RD
3009 richville rd,1.0,3009 RICHVILLE RD
2001 old jerusalem rd,1.0,2001 OLD JERUSALEM RD
75 douglas rd,1.0,75 DOUGLAS RD
51 main st,1.0,51 MAIN St
534 delong rd,1.0,534 DELONG RD
1849 shard villa rd,1.0,1849 SHARD VILLA RD
605 delong rd,1.0,605 DELONG RD
150 carothers ln,1.0,150 CAROTHERS Ln
192 jenison rd,1.0,192 JENISON RD
486 jenison rd,1.0,486 JENISON RD
2398 happy valley rd,1.0,2398 HAPPY VALLEY RD
164 needham hill rd,1.0,164 NEEDHAM HILL RD
628 doolittle rd,1.0,628 DOOLITTLE RD
2121 leland rd,1.0,2121 LELAND RD
2 n orwell rd,1.0,2 N ORWELL RD
1804 three mile bridge rd,1.0,1804 THREE MILE BRIDGE RD
34 church st,1.0,34 CHURCH St
244 royce hill rd,1.0,244 ROYCE HILL RD
314 delong ln,1.0,314 DELONG LN
14 clark rd,1.0,14 CLARK RD
60 royce hill rd,1.0,60 ROYCE HILL RD
3 stickney rd,1.0,3 STICKNEY RD
1265 halladay rd,1.0,1265 HALLADAY RD
1036 morgan rd,1.0,1036 MORGAN RD
21 smith st,1.0,21 SMITH ST
607 cider mill rd,1.0,607 CIDER MILL RD
913 morgan rd,1.0,913 MORGAN RD
648 n main st,1.0,648 N MAIN St
3407 basin harbor rd,1.0,3407 BASIN HARBOR RD
20 mount independence rd,1.0,20 MOUNT INDEPENDENCE RD
282 delong ln,1.0,282 DELONG LN
88 tulley rd,1.0,88 TULLEY RD
3016 hemenway hill rd,1.0,3016 HEMENWAY HILL RD
1260 ridge rd,1.0,1260 RIDGE RD
1081 ridge rd,1.0,1081 RIDGE RD
1302 ridge rd,1.0,1302 RIDGE RD
785 ridge rd,1.0,785 RIDGE RD
1727 richville rd,1.0,1727 RICHVILLE RD
194 old sawmill rd,1.0,194 OLD SAWMILL RD
193 shoreham depot rd,1.0,193 SHOREHAM DEPOT RD
442 kelley cross rd,1.0,442 KELLEY CROSS RD
1707 n cream hill rd,1.0,1707 N CREAM HILL RD
436 n cream hill rd,1.0,436 N CREAM HILL RD
270 n cream hill rd,1.0,270 N CREAM HILL RD
55 cider mill rd,1.0,55 CIDER MILL RD
2438 s bingham st,1.0,2438 S BINGHAM ST
843 tottingham rd,1.0,843 TOTTINGHAM RD
649 harrington hill rd,1.0,649 HARRINGTON HILL RD
3148 basin harbor rd,1.0,3148 BASIN HARBOR RD
1773 richville rd,1.0,1773 RICHVILLE RD
876 shoreham depot rd,1.0,876 SHOREHAM DEPOT RD
419 lapham bay rd,1.0,419 LAPHAM BAY RD
35 hemenway hill rd,1.0,35 HEMENWAY HILL RD
1460 halladay rd,1.0,1460 HALLADAY RD
164 shoreham depot rd,1.0,164 SHOREHAM DEPOT RD
94 pearl rd,1.0,94 PEARL RD
342 fisher rd,1.0,342 FISHER RD
431 n orwell rd,1.0,431 N ORWELL RD
84 sperry rd,1.0,84 SPERRY RD
1870 shard villa rd,1.0,1870 SHARD VILLA RD
1329 lapham bay rd,1.0,1329 LAPHAM BAY RD
2195 s bingham st,1.0,2195 S BINGHAM ST
1471 brown rd,1.0,1471 BROWN RD
45 n cream hill rd,1.0,45 N CREAM HILL RD
205 main st,1.0,205 MAIN St
132 swamp rd,1.0,132 SWAMP RD
879 shard villa rd,1.0,879 SHARD VILLA RD
1166 halladay rd,1.0,1166 HALLADAY RD
654 school st,1.0,654 SCHOOL ST
1623 smith st,1.0,1623 SMITH ST
1048 basin harbor rd,1.0,1048 BASIN HARBOR RD
318 witherell rd,1.0,318 WITHERELL RD
142 hemenway hill rd,1.0,142 HEMENWAY HILL RD
1235 sperry rd,1.0,1235 SPERRY RD
679 richville rd,1.0,679 RICHVILLE RD
613 n main st,1.0,613 N MAIN St
106 brown ln,1.0,106 BROWN Ln
1667 cutting hill rd,1.0,1667 CUTTING HILL RD
323 peet rd,1.0,323 PEET RD
204 clark rd,1.0,204 CLARK RD
2841 watch point rd,1.0,2841 WATCH POINT RD
121 ti view ln,1.0,121 TI VIEW LN
1041 n bingham st,1.0,1041 N BINGHAM ST
1495 three mile bridge rd,1.0,1495 THREE MILE BRIDGE RD
22 slade rd,1.0,22 SLADE RD
2528 hemenway hill rd,1.0,2528 HEMENWAY HILL RD
541 basin harbor rd,1.0,541 BASIN HARBOR RD
18 old foundry rd,1.0,18 OLD FOUNDRY RD
57 meadow ln,1.0,57 MEADOW Ln
75 main st,1.0,75 MAIN St
724 delong ln,1.0,724 DELONG LN
115 barnes rd,1.0,115 BARNES RD
172 stickney rd,1.0,172 STICKNEY RD
452 leland rd,1.0,452 LELAND RD
74 main st,1.0,74 MAIN St
1893 richville rd,1.0,1893 RICHVILLE RD
29 sampson rd,1.0,29 SAMPSON RD
951 middle rd,1.0,951 MIDDLE RD
79 sunset orchard rd,1.0,79 SUNSET ORCHARD RD
405 school st,1.0,405 SCHOOL ST
1293 leland rd,1.0,1293 LELAND RD
1260 leland rd,1.0,1260 LELAND RD
896 leland rd,1.0,896 LELAND RD
1966 dewey rd,1.0,1966 DEWEY RD
3362 lapham bay rd,1.0,3362 LAPHAM BAY RD
2281 leland rd,1.0,2281 LELAND RD
811 buttolph rd,1.0,811 BUTTOLPH RD
249 old foundry rd,1.0,249 OLD FOUNDRY RD
1823 cutting hill rd,1.0,1823 CUTTING HILL RD
2181 cutting hill rd,1.0,2181 CUTTING HILL RD
2032 cutting hill rd,1.0,2032 CUTTING HILL RD
324 n main st,1.0,324 N MAIN St
1048 n cream hill rd,1.0,1048 N CREAM HILL RD
237 shacksboro rd,1.0,237 SHACKSBORO RD
224 n orwell rd,1.0,224 N ORWELL RD
97 lake st,1.0,97 LAKE ST
662 leland rd,1.0,662 LELAND RD
909 leland rd,1.0,909 LELAND RD
512 delong ln,1.0,512 DELONG LN
1787 sperry rd,1.0,1787 SPERRY RD
531 main st,1.0,531 MAIN ST
66 church st,1.0,66 CHURCH ST
619 tottingham rd,1.0,619 TOTTINGHAM RD
1516 peet rd,1.0,1516 PEET RD
2392 leland rd,1.0,2392 LELAND RD
352 cider mill rd,1.0,352 CIDER MILL RD
2321 w salisbury rd,1.0,2321 W SALISBURY RD
915 snake mountain rd,1.0,915 SNAKE MOUNTAIN RD
32 doolittle rd,1.0,32 DOOLITTLE RD
1104 n bingham st,1.0,1104 N BINGHAM ST
1341 halladay rd,1.0,1341 HALLADAY RD
23 sampson rd,1.0,23 SAMPSON RD
314 james rd,1.0,314 JAMES RD
390 blake roy rd,1.0,390 BLAKE ROY RD
1377 w salisbury rd,1.0,1377 W SALISBURY RD
150 murray rd,1.0,150 MURRAY RD
773 witherell rd,1.0,773 WITHERELL RD
338 delong ln,1.0,338 DELONG LN
155 needham hill rd,1.0,155 NEEDHAM HILL RD
1331 s bingham st,1.0,1331 S BINGHAM ST
1188 three mile bridge rd,1.0,1188 THREE MILE BRIDGE RD
254 james rd,1.0,254 JAMES RD
18 n orwell rd,1.0,18 N ORWELL RD
2769 richville rd,1.0,2769 RICHVILLE RD
263 doolittle rd,1.0,263 DOOLITTLE RD
749 barnum hill rd,1.0,749 BARNUM HILL RD
879 buttolph rd,1.0,879 BUTTOLPH RD
28 buttolph rd,1.0,28 BUTTOLPH RD
265 s bingham st,1.0,265 S BINGHAM ST
182 needham hill rd,1.0,182 NEEDHAM HILL RD
125 brown ln,1.0,125 BROWN Ln
1455 cider mill rd,1.0,1455 CIDER MILL RD
8 shard villa rd,1.0,8 SHARD VILLA RD
329 n main st,1.0,329 N MAIN St
1387 leland rd,1.0,1387 LELAND RD
2068 school st,1.0,2068 SCHOOL ST
2290 hemenway hill rd,1.0,2290 HEMENWAY HILL RD
888 three mile bridge rd,1.0,888 THREE MILE BRIDGE RD
24 pearl rd,1.0,24 PEARL RD
2139 quiet valley rd,1.0,2139 QUIET VALLEY RD
1316 n orwell rd,1.0,1316 N ORWELL RD
2525 shacksboro rd,1.0,2525 SHACKSBORO RD
630 shoreham depot rd,1.0,630 SHOREHAM DEPOT RD
2711 richville rd,1.0,2711 RICHVILLE RD
2450 cutting hill rd,1.0,2450 CUTTING HILL RD
1132 shard villa rd,1.0,1132 SHARD VILLA RD
2112 middle rd,1.0,2112 MIDDLE RD
973 s bingham st,1.0,973 S BINGHAM ST
14 audet rd,1.0,14 AUDET RD
2280 dewey rd,1.0,2280 DEWEY RD
372 lapham bay rd,1.0,372 LAPHAM BAY RD
91 murray rd,1.0,91 MURRAY RD
84 murray rd,1.0,84 MURRAY RD
152 royce hill rd,1.0,152 ROYCE HILL RD
133 edgewood ln,1.0,133 EDGEWOOD Ln
35 swamp rd,1.0,35 SWAMP RD
216 delong rd,1.0,216 DELONG RD
2129 shard villa rd,1.0,2129 SHARD VILLA RD
977 bates rd,1.0,977 BATES RD
101 hemenway hill rd,1.0,101 HEMENWAY HILL RD
814 lapham bay rd,1.0,814 LAPHAM BAY RD
721 tottingham rd,1.0,721 TOTTINGHAM RD
160 witherell rd,1.0,160 WITHERELL RD
727 cutting hill rd,1.0,727 CUTTING HILL RD
949 cider mill rd,1.0,949 CIDER MILL RD
1619 halladay rd,1.0,1619 HALLADAY RD
1089 sperry rd,1.0,1089 SPERRY RD
1825 hemenway hill rd,1.0,1825 HEMENWAY HILL RD
272 cider mill rd,1.0,272 CIDER MILL RD
652 delong ln,1.0,652 DELONG LN
1101 snake mountain rd,1.0,1101 SNAKE MOUNTAIN RD
342 school st,1.0,342 SCHOOL ST
431 shacksboro rd,1.0,431 SHACKSBORO RD
285 cider mill rd,1.0,285 CIDER MILL RD
308 lapham bay rd,1.0,308 LAPHAM BAY RD
572 richville rd,1.0,572 RICHVILLE RD
399 main st,1.0,399 MAIN ST
1155 cider mill rd,1.0,1155 CIDER MILL RD
3045 w salisbury rd,1.0,3045 W SALISBURY RD
1890 leland rd,1.0,1890 LELAND RD
159 n bingham st,1.0,159 N BINGHAM ST
81 daigneault hill rd,1.0,81 DAIGNEAULT HILL RD
77 n orwell rd,1.0,77 N ORWELL RD
1254 richville rd,1.0,1254 RICHVILLE RD
99 orchard run,1.0,99 ORCHARD RUN
1042 ridge rd,1.0,1042 RIDGE RD
104 royce hill rd,1.0,104 ROYCE HILL RD
1431 cider mill rd,1.0,1431 CIDER MILL RD
223 royce hill rd,1.0,223 ROYCE HILL RD
10 desrocher ln,1.0,10 DESROCHER Ln
101 bourdeau rd,1.0,101 BOURDEAU RD
101 brown ln,1.0,101 BROWN Ln
101 clark rd,1.0,101 CLARK RD
123 lambert ln,0.3333333333333333,123 LAMBEROUTE Ln
16 roberts ave,0.3333333333333333,16 ROBEROUTES AVE
28 roberts ave,0.3333333333333333,28 ROBEROUTES AVE
37 roberts ave,0.3333333333333333,37 ROBEROUTES AVE
46 roberts ave,0.3333333333333333,46 ROBEROUTES AVE
50 roberts ave,0.3333333333333333,50 ROBEROUTES AVE
56 roberts ave,0.3333333333333333,56 ROBEROUTES AVE
88 north wind ln,0.5,88 N WIND LN
1079 west st,0.3333333333333333,1079 W St
1097 vt route 30,0.5,1097 VT ROUTE 100
1104 west st,0.3333333333333333,1104 W St
1107 quiet valley rd,0.25,1107 QUARRY RD
1177 shard villa rd,0.25,1177 SWINTON RD
1186 west st,0.3333333333333333,1186 W St
12 mount independence rd,0.5,12 MT INDEPENDENCE RD
1265 vt route 74 e,0.2,1265 ROUTE 74E
129 daigneault hill rd,0.5,129 DAIGNAULT HILL RD
1368 west st,0.3333333333333333,1368 W St
137 cobbs corners rd,0.5,137 COBBS CORNER RD
1397 west st,0.3333333333333333,1397 W St
1399 vt route 30,0.6666666666666666,1399 ROUTE 30
140 cedar ridge dr,0.6666666666666666,140 CEDAR RIDGE
140 vt route 73,0.5,140 VT ROUTE 116
143 vt route 73,0.5,143 VT ROUTE 125
1458 west st,0.3333333333333333,1458 W St
1465 west st,0.3333333333333333,1465 W St
15 daigneault hill rd,0.5,15 DAIGNAULT HILL RD
152 fisher rd,1.0,152 FISHER  RD
1599 vt route 30,0.6666666666666666,1599 ROUTE 30
