phase_1_address,score,e911_address
394 CIDER MILL RD,1.0,394 CIDER MILL RD
346 SPERRY RD,1.0,346 SPERRY RD
137 MIDDLE RD,1.0,137 MIDDLE RD
2454 CUTTING HILL RD,1.0,2454 CUTTING HILL RD
75 S BINGHAM ST,1.0,75 S BINGHAM ST
29 JAMES RD,1.0,29 JAMES RD
1740 DELONG RD,1.0,1740 DELONG RD
98 SHARD VILLA RD,1.0,98 SHARD VILLA RD
1549 N ORWELL RD,1.0,1549 N ORWELL RD
2784 RICHVILLE RD,1.0,2784 RICHVILLE RD
1950 SCHOOL ST,1.0,1950 SCHOOL ST
35 RICHVILLE RD,1.0,35 RICHVILLE RD
107 DAME RD,1.0,107 DAME RD
2003 SCHOOL ST,1.0,2003 SCHOOL ST
2378 HEMENWAY HILL RD,1.0,2378 HEMENWAY HILL RD
1047 BARNUM HILL RD,1.0,1047 BARNUM HILL RD
2274 SMITH ST,1.0,2274 SMITH ST
292 QUIET VALLEY RD,1.0,292 QUIET VALLEY RD
360 QUIET VALLEY RD,1.0,360 QUIET VALLEY RD
36 S BINGHAM ST,1.0,36 S BINGHAM ST
440 DELONG LN,1.0,440 DELONG LN
523 MIDDLE RD,1.0,523 MIDDLE RD
602 MAIN ST,1.0,602 MAIN ST
519 ROBBINS RD,1.0,519 ROBBINS RD
658 HARRINGTON HILL RD,1.0,658 HARRINGTON HILL RD
145 LAKE ST,1.0,145 LAKE ST
1519 DELONG RD,1.0,1519 DELONG RD
185 HOLMES LN,1.0,185 HOLMES LN
872 PARKHILL RD,1.0,872 PARKHILL RD
260 SHACKSBORO RD,1.0,260 SHACKSBORO RD
51 MOUNT INDEPENDENCE RD,1.0,51 MOUNT INDEPENDENCE RD
172 BEAVER BROOK RD,1.0,172 BEAVER BROOK RD
1696 LELAND RD,1.0,1696 LELAND RD
208 MURRAY RD,1.0,208 MURRAY RD
2137 N BINGHAM ST,1.0,2137 N BINGHAM ST
943 SHARD VILLA RD,1.0,943 SHARD VILLA RD
364 DELONG LN,1.0,364 DELONG LN
65 CHURCH ST,1.0,65 CHURCH ST
28 N ORWELL RD,1.0,28 N ORWELL RD
7 N ORWELL RD,1.0,7 N ORWELL RD
7 N ORWELL RD,1.0,7 N ORWELL RD
1691 N BINGHAM ST,1.0,1691 N BINGHAM ST
215 SCHOOL ST,1.0,215 SCHOOL ST
764 RICHVILLE RD,1.0,764 RICHVILLE RD
653 WOOSTER RD,1.0,653 WOOSTER RD
69 SPERRY RD,1.0,69 SPERRY RD
600 MAIN ST,1.0,600 MAIN ST
224 DOUGLAS RD,1.0,224 DOUGLAS RD
854 BASIN HARBOR RD,1.0,854 BASIN HARBOR RD
37 SHACKSBORO RD,1.0,37 SHACKSBORO RD
159 CEMETERY HILL RD,1.0,159 CEMETERY HILL RD
170 NEEDHAM HILL RD,1.0,170 NEEDHAM HILL RD
179 BOURDEAU RD,1.0,179 BOURDEAU RD
1870 SHACKSBORO RD,1.0,1870 SHACKSBORO RD
15 SAMPSON RD,1.0,15 SAMPSON RD
216 JAMES RD,1.0,216 JAMES RD
2219 W SALISBURY RD,1.0,2219 W SALISBURY RD
278 N ORWELL RD,1.0,278 N ORWELL RD
275 N ORWELL RD,1.0,275 N ORWELL RD
1576 MORGAN RD,1.0,1576 MORGAN RD
833 N BINGHAM ST,1.0,833 N BINGHAM ST
84 GALVIN RD,1.0,84 GALVIN RD
1342 SMITH ST,1.0,1342 SMITH ST
73 CHURCH ST,1.0,73 CHURCH ST
827 HALLADAY RD,1.0,827 HALLADAY RD
265 DOUGLAS RD,1.0,265 DOUGLAS RD
1921 N BINGHAM ST,1.0,1921 N BINGHAM ST
2446 DEWEY RD,1.0,2446 DEWEY RD
9 DESROCHER LN,1.0,9 DESROCHER Ln
131 CHURCH ST,1.0,131 CHURCH ST
140 OLD FOUNDRY RD,1.0,140 OLD FOUNDRY RD
212 PHILION RD,1.0,212 PHILION RD
462 SHOREHAM DEPOT RD,1.0,462 SHOREHAM DEPOT RD
812 WOOSTER RD,1.0,812 WOOSTER RD
628 DELONG LN,1.0,628 DELONG LN
940 JENISON RD,1.0,940 JENISON RD
86 CHURCH ST,1.0,86 CHURCH ST
505 MAIN ST,1.0,505 MAIN ST
85 CHURCH ST,1.0,85 CHURCH ST
142 PHILION RD,1.0,142 PHILION RD
123 DELONG RD,1.0,123 DELONG RD
1049 N CREAM HILL RD,1.0,1049 N CREAM HILL RD
851 CLARK RD,1.0,851 CLARK RD
28 CLARK RD,1.0,28 CLARK RD
704 MORGAN RD,1.0,704 MORGAN RD
428 DOOLITTLE RD,1.0,428 DOOLITTLE RD
532 DOOLITTLE RD,1.0,532 DOOLITTLE RD
