address,score,e911_address
656 mount independence rd,0.25,656 HARDSCRABBLE RD
109 isthmus dr,1.0,109 ISTHMUS DR
1192 us route 7,1.0,1192 US ROUTE 7
93 fox ln,1.0,93 FOX Ln
5 s maple st,0.6666666666666666,5 S St
2917 lake dunmore rd,1.0,2917 LAKE DUNMORE RD
98 colorado cir,1.0,98 COLORADO CIR
350 leicester whiting rd,0.25,350 LEICESTER-WHITING RD
35 sunrise lake rd,1.0,35 SUNRISE LAKE RD
3532 shellhouse mountain rd,0.5,3532 SHELLHOUSE MTN. RD
424 mount independence rd,0.25,424 GRIMES RD
100 macdonough dr,1.0,100 MACDONOUGH Dr
75 s water st,1.0,75 S WATER St
78 dogwood dr,1.0,78 DOGWOOD DR
71 bay shore dr,1.0,71 BAY SHORE DR
64 green st,1.0,64 GREEN St
125 little chicago rd,1.0,125 LITTLE CHICAGO RD
11 first st,0.3333333333333333,11 W St
40 us route 7,1.0,40 US ROUTE 7
1648 west shore rd,0.5,1648 W SHORE RD
277 main st,0.6666666666666666,277 N MAIN St
1569 sand rd,1.0,1569 SAND RD
11 courtney dr,0.3333333333333333,11 COUROUTENEY Dr
662 shackett rd,1.0,662 SHACKETT RD
1264 parks hurlburt rd,0.5,1264 PARKS HURLBUROUTE RD
121 plank rd,1.0,121 PLANK RD
1294 lake dunmore rd,1.0,1294 LAKE DUNMORE RD
246 mount independence rd,1.0,246 MOUNT INDEPENDENCE RD
53 n main st,1.0,53 N MAIN St
427 quiet ln,1.0,427 QUIET LN
452 west shore rd,0.25,452 WOLF RD
355 shackett rd,1.0,355 SHACKETT RD
200 old stage rd,1.0,200 OLD STAGE RD
75 tonglen ln,1.0,75 TONGLEN Ln
3253 lake dunmore rd,1.0,3253 LAKE DUNMORE RD
7 canal st,1.0,7 CANAL St
17 victory st,1.0,17 VICTORY St
52 oak hill ln,1.0,52 OAK HILL LN
28 high manor park,0.75,28 (2A) HIGH MANOR PARK
1452 fern lake rd,1.0,1452 FERN LAKE RD
2750 leicester whiting rd,1.0,2750 LEICESTER WHITING RD
520 dakin rd,1.0,520 DAKIN RD
19 maple mnr,0.3333333333333333,19 MAPLE MANOR
8 prospect st,1.0,8 PROSPECT St
764 west shore rd,0.5,764 W SHORE RD
396 west shore rd,0.25,396 ATKINS RD
25 booth woods,1.0,25 BOOTH WOODS
30 bishop hill rd,1.0,30 BISHOP HILL RD
4 maple mnr,0.3333333333333333,4 MAPLE MANOR
20 new haven rd,1.0,20 NEW HAVEN RD
108 northend pt,0.0,108 MAIN St
31 windy ln,1.0,31 WINDY Ln
92 s water st,1.0,92 S WATER St
641 greenbush rd,1.0,641 GREENBUSH RD
502 kelsey ln,1.0,502 KELSEY LN
1610 little chicago rd,1.0,1610 LITTLE CHICAGO RD
14 panton rd,1.0,14 PANTON RD
3 meadow ln,1.0,3 MEADOW Ln
56 dunmore acres dr,0.25,56 DANYOW Dr
99 glory ln,1.0,99 GLORY Ln
3 thornwood ln,1.0,3 THORNWOOD Ln
85 upper plains rd,0.25,85 BILODEAU RD
618 west shore rd,0.5,618 W SHORE RD
556 fort cassin rd,0.5,556 FOROUTE CASSIN RD
959 plank rd,0.3333333333333333,959 PANTON RD
22 thomas cir,0.3333333333333333,22 THOMAS CIRCLE
3454 shellhouse mountain rd,0.5,3454 SHELLHOUSE MTN. RD
1352 us route 7,1.0,1352 US ROUTE 7
92 bilodeau rd,0.3333333333333333,92 HUNT RD
1316 lake dunmore rd,1.0,1316 LAKE DUNMORE RD
309 sand rd,1.0,309 SAND RD
73 e brook rd,1.0,73 E BROOK RD
87 bridle path ln,1.0,87 BRIDLE PATH Ln
134 brunet ln,1.0,134 BRUNET Ln
3133 hawkins rd,1.0,3133 HAWKINS RD
181 green st,1.0,181 GREEN St
185 westside dr,0.3333333333333333,185 DIROUTE Dr
936 maple st,1.0,936 MAPLE ST
595 maple st,1.0,595 MAPLE ST
141 winding way,1.0,141 WINDING WAY
12 high st,1.0,12 HIGH St
11 young rd,1.0,11 YOUNG RD
181 young rd,1.0,181 YOUNG RD
32 first st,0.3333333333333333,32 N St
50 chickadee ave,0.3333333333333333,50 ROBEROUTES AVE
74 s maple st,1.0,74 S MAPLE St
306 monkton rd,0.3333333333333333,306 CEMETERY RD
54 w main st,1.0,54 W MAIN St
3611 lake dunmore rd,1.0,3611 LAKE DUNMORE RD
15 sanford rd,0.3333333333333333,15 HOPKINS RD
1 depot rd,0.3333333333333333,1 HOPKINS RD
4 country cmns,0.0,4 MEADOW Ln
136 deer run rd,1.0,136 DEER RUN RD
87 balsam dr,1.0,87 BALSAM DR
32 hillside acres,0.0,32 BOOTH WOODS
3177 us route 7,0.0,3177 CROWN POINT RD
29 second st,0.3333333333333333,29 SCHOOL St
2997 lake dunmore rd,1.0,2997 LAKE DUNMORE RD
281 singing cedars rd,0.6666666666666666,281 SINGING CEDARS
1292 lake dunmore rd,1.0,1292 LAKE DUNMORE RD
291 mountainview dr,1.0,291 MOUNTAINVIEW DR
473 locust ln,1.0,473 LOCUST Ln
193 pine ln,1.0,193 PINE LN
102 cardinal ave,0.0,102 WEYBRIDGE RD
1644 shellhouse mountain rd,0.5,1644 SHELLHOUSE MTN. RD
136 autumn trl,1.0,136 AUTUMN TRL
389 plank rd,1.0,389 PLANK RD
908 us route 7,0.0,908 CARLSTROM RD
330 underwood ln,0.3333333333333333,330 LEISURE LN
20 union st,1.0,20 UNION St
739 vt route 73,0.0,739 TYLER BRIDGE RD
16 first st,0.3333333333333333,16 E St
65 jones dr,0.0,65 MAIN St
69 glory ln,1.0,69 GLORY Ln
29 raymond hill rd,1.0,29 RAYMOND HILL RD
112 field rd,1.0,112 FIELD RD
197 leisure ln,1.0,197 LEISURE LN
47 main st,1.0,47 MAIN St
4 burke rd,0.3333333333333333,4 DEPOT RD
117 w main st,1.0,117 W MAIN St
2664 us route 7,0.0,2664 TOWN LINE RD
40 horton rd,0.3333333333333333,40 BOWMAN RD
66 vanders wey,0.0,66 S WATER St
690 middlebrook rd,1.0,690 MIDDLEBROOK RD
152 botsford rd,1.0,152 BOTSFORD RD
45 robins rd,0.3333333333333333,45 MONKTON RD
289 winding way,1.0,289 WINDING WAY
10 booska ct,0.3333333333333333,10 BOOSKA COUROUTE
150 autumn trl,1.0,150 AUTUMN TRL
5217 us route 7,0.6666666666666666,5217 ROUTE 7
495 fuller mountain rd,1.0,495 FULLER MOUNTAIN RD
43 booth woods,1.0,43 BOOTH WOODS
2511 us route 7,1.0,2511 US ROUTE 7
3029 us route 7,0.6666666666666666,3029 ROUTE 7
1488 fern lake rd,1.0,1488 FERN LAKE RD
190 route 66,1.0,190 ROUTE 66
2615 maple st,1.0,2615 MAPLE St
339 us route 7,1.0,339 US ROUTE 7
101 young rd,1.0,101 YOUNG RD
912 us route 7,1.0,912 US ROUTE 7
1495 smead rd,1.0,1495 SMEAD RD
605 round barn rd,1.0,605 ROUND BARN RD
5 bowman rd,1.0,5 BOWMAN RD
34 east st,0.3333333333333333,34 N St
176 green st,0.25,176 S MAPLE St
19 bridle path ln,1.0,19 BRIDLE PATH Ln
512 indian trl,1.0,512 INDIAN TRL
13 hillside acres,1.0,13 HILLSIDE ACRES
120 sunrise lake rd,0.25,120 PANTON RD
4161 monkton rd,1.0,4161 MONKTON RD
53 w main st,1.0,53 W MAIN St
20 victory st,1.0,20 VICTORY St
68 park ln,0.3333333333333333,68 WILLOW Ln
369 crosby hts,0.3333333333333333,369 CROSBY HEIGHTS
115 main st,1.0,115 MAIN St
25 meadow ln,1.0,25 MEADOW Ln
84 oak ln,1.0,84 OAK Ln
1020 greenbush rd,1.0,1020 GREENBUSH RD
3269 sand rd,1.0,3269 SAND RD
818 west shore rd,0.5,818 W SHORE RD
9 third st,0.3333333333333333,9 W St
43 n main st,1.0,43 N MAIN St
129 blue heron ln,0.25,129 PIERCE Ln
40 bowman rd,1.0,40 BOWMAN RD
49 young rd,1.0,49 YOUNG RD
50 macdonough dr,1.0,50 MACDONOUGH Dr
80 green st,1.0,80 GREEN St
2124 walker rd,1.0,2124 WALKER RD
111 young rd,0.3333333333333333,111 MIDDLEBROOK RD
57 north st,0.3333333333333333,57 GREEN St
188 s maple st,1.0,188 S MAPLE St
